,Work Happiness Score,Flexibility,Learning,Achievement,Appreciation,Inclusion,Support,Purpose,Energy,Compensation,Satisfaction,Management,Trust,Belonging,Stress-free,Company
283,72,80,77,76,76,76,76,75,71,73,70,70,71,69,57,Dell Technologies
284,73,74,72,75,71,71,73,74,71,75,71,67,69,69,,Aquent
285,59,62,68,70,67,65,66,65,60,70,61,60,59,59,50,UScellular
286,69,71,72,72,70,69,72,73,69,69,66,67,65,64,63,Insight Global
287,67,73,72,73,70,66,68,73,67,70,66,62,62,63,64,BAE Systems
288,54,58,58,63,60,54,59,60,58,62,54,49,51,50,51,Sam's Club
289,65,73,69,71,71,70,70,70,64,67,65,65,66,64,56,Nielsen
290,75,77,79,83,73,72,69,77,75,71,72,65,66,68,56,the NBA
291,69,68,76,73,72,71,72,74,70,74,67,66,66,66,54,Procter & Gamble
292,60,65,68,66,67,60,65,69,62,59,59,57,56,56,53,Ascension
293,70,76,71,71,69,69,68,69,68,71,66,63,65,60,61,EPAM Systems
294,53,57,60,64,57,52,56,58,57,53,49,50,50,48,50,"Lithia Motors, Inc."
295,63,67,67,68,65,64,65,66,62,60,63,60,60,58,58,Cognizant Technology Solutions
296,73,78,75,78,76,75,74,76,72,69,72,73,72,70,57,Northeastern University
297,61,68,63,68,63,58,63,61,59,63,,57,63,55,,Frontier
298,70,69,68,66,69,65,69,67,62,62,60,60,65,60,61,GHD
299,60,65,68,68,67,68,67,67,58,68,61,61,61,58,49,"Blue Cross Blue Shield of IL, MT, NM, OK & TX"
300,61,60,69,70,64,61,63,68,63,65,62,57,57,58,51,Tesla
301,66,71,72,73,71,68,69,74,67,75,67,65,65,63,54,Abbvie
302,54,63,63,67,60,57,61,62,54,59,56,58,53,52,54,USI Holdings Corporation
303,67,69,73,72,71,69,70,75,67,68,64,64,65,64,54,Medtronic
304,72,72,76,77,77,73,75,77,74,70,71,68,69,70,59,"Airbus Helicopters, Inc"
305,62,61,65,66,69,67,72,67,62,64,64,65,63,59,48,Hulu
306,59,67,64,67,65,61,65,63,60,57,58,61,59,54,59,IGT
307,39,45,56,53,53,53,53,52,45,37,36,50,47,45,,Divisions Maintenance Group
308,58,63,61,67,62,58,61,63,61,59,56,56,55,54,56,HD Supply
309,57,61,64,70,65,62,65,67,57,62,58,60,57,57,54,CardWorks
310,67,76,74,74,70,68,70,74,69,77,68,67,64,64,61,DLA Piper
311,56,78,71,66,70,69,69,68,55,61,59,66,61,59,50,Blackbaud
312,62,67,71,65,69,63,69,72,62,61,63,60,61,59,51,UW Health
313,40,54,53,57,45,38,46,56,41,69,41,40,35,36,43,Caris Life Sciences
314,70,73,74,75,74,71,71,73,70,73,69,66,66,66,63,ManTech International Corporation
315,61,64,66,69,65,62,64,68,62,64,61,61,57,56,61,PAE
316,55,57,57,56,54,53,56,57,54,59,55,51,50,49,57,Aston Carter
317,61,61,68,66,66,62,64,67,62,69,61,59,58,57,57,Mars
